,Name,Year,Mileage,Count Raiting,Rating,Fuel type,Interior color,Exterior_color,Price,bind_price
7898,Tesla Model 3 Long Range,2019,24868.0,12.0,2.5,1, Black , Silver ,47499.0,7
7900,Tesla Model 3 Long Range,2019,15260.0,1.0,5.0,1, Black , White ,53499.0,8
7901,Tesla Model 3 Long Range,2019,17028.0,7344.0,3.7,1, Black , Pearl White Multi-Coat ,48999.0,7
7902,Tesla Model 3 Long Range,2019,12094.0,7339.0,3.7,1, Black , Solid Black ,56499.0,8
7903,Tesla Model 3 Long Range,2018,24207.0,3.0,3.7,1, White , Silver Metallic ,51999.0,8
7904,Tesla Model 3 Long Range,2020,19483.0,7339.0,3.7,1, White , White ,50999.0,8
7905,Tesla Model 3 Performance,2019,29059.0,58.0,4.6,1, Black , Pearl White Multi ,53987.0,8
7906,Tesla Model 3 Long Range,2020,33502.0,8381.0,4.3,1, Black , White ,51590.0,8
7907,Tesla Model 3 Performance,2020,21972.0,8381.0,4.3,1, Black , White ,58590.0,8
7908,Tesla Model 3 Long Range,2020,16718.0,256.0,1.9,1, Black , Gray ,54998.0,8
7909,Tesla Model 3 Performance,2020,8494.0,22.0,4.0,1, Black , Black ,57899.0,8
7910,Tesla Model 3 LONG RANGE 4DR FASTBACK,2018,26090.0,1.0,1.0,1, Black , Solid Black ,45999.0,7
7912,Tesla Model 3 Long Range,2020,18245.0,4601.0,4.8,1,Nan,Nan,50881.0,8
7913,Tesla Model 3 Long Range,2019,37405.0,2.0,2.8,1, Black , Gray ,46999.0,7
7914,Tesla Model 3 Long Range,2018,18126.0,645.0,4.6,1, Black , Black ,46500.0,7
7915,Tesla Model 3 Long Range,2018,11677.0,8381.0,4.3,1, Black , Black ,52990.0,8
7916,Tesla Model 3 Performance,2018,42374.0,185.0,4.8,1, White , Midnight Silver Metallic ,55598.0,8
7917,Tesla Model 3 Long Range,2019,12767.0,7340.0,3.7,1, Black , White ,53499.0,8
7918,Tesla Model 3 Long Range,2021,10269.0,417.0,4.7,1, Black , Pearl White Multi ,59988.0,8
7920,Tesla Model 3 Performance,2020,17510.0,8382.0,4.3,1, Black , Gray ,56990.0,8
7921,Tesla Model 3 Long Range,2018,36543.0,9.0,3.0,1, White , Red Multi ,49998.0,7
7922,Tesla Model 3 Performance,2021,6500.0,412.0,4.6,1, White / Black , Deep Blue Metallic ,65998.0,9
7923,Tesla Model 3 Performance,2020,50679.0,7344.0,3.7,1, Black , Solid Black ,53999.0,8
7924,Tesla Model 3 Performance,2020,22518.0,4.0,2.6,1, Black , Gray ,57998.0,8
7925,Tesla Model 3 Performance,2020,23406.0,5.0,1.7,1, Black , White ,61998.0,9
7926,Tesla Model 3 Performance,2018,16879.0,8381.0,4.3,1, White , Blue ,53590.0,8
7927,Tesla Model 3 Performance,2019,29500.0,269.0,4.7,1, White / Black , White ,54988.0,8
7928,Tesla Model 3 Long Range,2019,21352.0,8381.0,4.3,1, Black , White ,49990.0,7
7929,Tesla Model 3 Long Range,2018,32326.0,645.0,4.6,1, Black , Deep Blue Metallic ,50500.0,8
7930,Tesla Model 3 Long Range,2020,34443.0,9.0,4.1,1, Black , Black ,51995.0,8
7931,Tesla Model 3 Long Range,2020,17033.0,8953.0,4.3,1, Black , Gray ,51990.0,8
7932,Tesla Model 3 Long Range,2019,59711.0,1.0,5.0,1, Black , Gray ,48499.0,7
7933,Tesla Model 3 Performance,2018,13550.0,8383.0,4.3,1, Black , Blue ,54590.0,8
7934,Tesla Model 3 Performance,2022,1412.0,2103.0,4.8,1, White / Black , Pearl White Multi ,67887.0,9
7935,Tesla Model 3 Long Range,2021,13035.0,111.0,4.1,1, Black , Pearl White Multi ,56988.0,8
